location_name,Location_Category_Description,LATITUDE,LONGITUDE
P.S. 159 Isaac Pitkin,Elementary,40.676111,-73.869705
P.S. 160 William T. Sampson,Elementary,40.636932,-73.999045
P.S. 161 The Crown,Elementary,40.665757,-73.949243
J.H.S. 162 The Willoughby,Junior High-Intermediate-Middle,40.706816,-73.919643
P.S. 163 Bath Beach,K-8,40.606739,-74.007469
P.S. 164 Caesar Rodney,Elementary,40.637101,-73.985739
P.S. 165 Ida Posner,Elementary,40.657061,-73.910938
J.H.S. 166 George Gershwin,Junior High-Intermediate-Middle,40.659934,-73.885704
P.S. 167 The Parkway,Elementary,40.669557,-73.934316
The Brooklyn School for Math and Research,High school,40.696457,-73.911751
P.S. 169 Sunset Park,Elementary,40.645825,-74.0017
Ralph A. Fabrizio School,Elementary,40.630373,-74.018719
Ralph A. Fabrizio School,Elementary,40.630373,-74.018719
I.S. 171 Abraham Lincoln,Junior High-Intermediate-Middle,40.685852,-73.869434
P.S. 172 Beacon School of Excellence,Elementary,40.657682,-74.000191
P.S. 174 Dumont,K-8,40.665446,-73.897604
P.S. 176 Ovington,Elementary,40.624835,-74.005205
P.S. 177 The Marlboro,Elementary,40.608169,-73.974425
P.S. 178 Saint Clair Mckelway,K-8,40.67538,-73.915337
P.S. 179 Kensington,Elementary,40.640127,-73.97726
The SEEALL Academy,K-8,40.626454,-73.98925
P.S. 181 Brooklyn,K-8,40.648217,-73.945883
Success Academy Charter School - Williamsburg,Elementary,40.711915,-73.960137
P.S. 183 Daniel Chappie James,K-8,40.6602,-73.9139
P.S. 184 Newport,K-8,40.660385,-73.905004
P.S. 185 Walter Kassenbrock,Elementary,40.623598,-74.033429
P.S. 186 Dr. Irving A Gladstone,Elementary,40.610917,-73.994258
The Christa McAuliffe School\I.S. 187,Junior High-Intermediate-Middle,40.627929,-74.003883
P.S. 188 Michael E. Berdy,Elementary,40.576733,-74.000489
P.S. 189 The Bilingual Center,K-8,40.665228,-73.925435
P.S. 190 Sheffield,Elementary,40.662243,-73.894877
P.S. 332 Charles H. Houston,K-8,40.672216,-73.906018
P.S. 191 Paul Robeson,Elementary,40.67173,-73.924127
P.S. 192 - The Magnet School for Math and Science,K-8,40.6288,-73.97954
P.S. 193 Gil Hodges,Elementary,40.62208,-73.950321
P.S. 194 Raoul Wallenberg,Elementary,40.598069,-73.934163
P.S. 195 Manhattan Beach,Elementary,40.580161,-73.943498
P.S. 196 Ten Eyck,Elementary,40.708804,-73.939385
P.S. 197 - The Kings Highway Academy,Elementary,40.612339,-73.951398
P.S. 198 Brooklyn,Elementary,40.637601,-73.937083
P.S. 199 Frederick Wachtel,Elementary,40.61631,-73.963026
P.S. 200 Benson School,Elementary,40.602809,-74.001915
